what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493370068316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1493370091434
error,log,,,"Operation details",1493370103792
error,log,,,"Operation details",1493370103810
error,log,,,"Operation details",1493370117988
error,log,,,"Operation details",1493370117989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1493370133716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493370235807
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1493370235824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493370240387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493370339479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1493370339506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493370348626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493370445929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1493370445946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493370449819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493370476120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1493370476141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493370477655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493370478771
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493370479035
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1493370479679
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1493370479696
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1493370479851
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1493370479861
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1493370482368
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1493370482372
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1493370482375
